lon;lat;var1
143.5;37.5;-1.2791889149022773
143.5;38.5;-1.2886596291267831
143.5;39.5;-1.2389493184122653
143.5;40.5;-1.0745247666923599
143.5;41.5;-0.9147394539628301
143.5;42.5;-0.8548843833853872
143.5;44.5;-0.6081804879932073
143.5;45.5;-0.4317151688361526
143.5;46.5;-0.3449231387299969
143.5;47.5;-0.37416967713774524
143.5;48.5;-0.4045300757255087
143.5;51.5;-0.3379785914586854
143.5;52.5;-0.3582359460709075
143.5;53.5;-0.39844863202675906
143.5;54.5;-0.43762638212285193
143.5;55.5;-0.39269817002402096
143.5;56.5;-0.2842508378190137
143.5;57.5;-0.16091286889135067
143.5;58.5;-0.04563920454515271
144.5;20.5;-0.17231762416235402
144.5;21.5;-0.19038633602351382
144.5;22.5;-0.23148842060081865
144.5;23.5;-0.32614776291639347
144.5;24.5;-0.4339643301948645
144.5;25.5;-0.5332772043026343
144.5;26.5;-0.641688286228307
144.5;27.5;-0.7173755645355654
144.5;28.5;-0.7394686255494384
144.5;29.5;-0.7547118610246759
144.5;30.5;-0.7810859334049893
144.5;31.5;-0.7627399826858937
144.5;32.5;-0.7528463242059038
144.5;33.5;-0.7746332880864983
144.5;34.5;-0.9162740560249766
144.5;35.5;-1.0938716457392441
144.5;36.5;-1.2381254925753047
144.5;37.5;-1.2938756593803524
144.5;38.5;-1.2949150152279763
144.5;39.5;-1.2359621019888811
144.5;40.5;-1.0699350223158453
144.5;41.5;-0.9277436657787517
144.5;42.5;-0.8494573117823891
144.5;44.5;-0.6398732255205183
144.5;45.5;-0.4659566639296075
144.5;46.5;-0.3996590313553255
144.5;47.5;-0.4181040450260373
144.5;48.5;-0.4464716675463904
144.5;49.5;-0.38650517596102635
144.5;50.5;-0.29358314131502794
144.5;51.5;-0.25205241954021557
144.5;52.5;-0.2667179212544776
144.5;53.5;-0.33805294579733913
144.5;54.5;-0.37548590137475946
144.5;55.5;-0.33112112030260343
144.5;56.5;-0.29727025607761126
144.5;57.5;-0.21141220445827938
144.5;58.5;-0.09200985700025645
145.5;20.5;-0.17284257414186843
145.5;21.5;-0.18109000267813272
145.5;22.5;-0.21702423963748635
145.5;23.5;-0.3327298705367079
145.5;24.5;-0.4550149953556262
145.5;25.5;-0.553650529949233
145.5;26.5;-0.6560786083432355
145.5;27.5;-0.7380601812047425
145.5;28.5;-0.7601131761168372
145.5;29.5;-0.7682017434699466
145.5;30.5;-0.7857368893263699
145.5;31.5;-0.8021118668688951
145.5;32.5;-0.7724937844328511
145.5;33.5;-0.7840551012347607
145.5;34.5;-0.9220337920861967
145.5;35.5;-1.0926219790439726
145.5;36.5;-1.2431824796717434
145.5;37.5;-1.278187240605024
145.5;38.5;-1.2723624589525506
145.5;39.5;-1.2022795129612183
145.5;40.5;-1.0695947310080571
145.5;41.5;-0.9149884511409079
145.5;42.5;-0.8439895226857853
145.5;43.5;-0.762669858439201
145.5;44.5;-0.6132397821879755
145.5;45.5;-0.4651168229495584
145.5;46.5;-0.4338315839964428
145.5;47.5;-0.458734276691736
145.5;48.5;-0.486505517116116
145.5;49.5;-0.43352453940212027
145.5;50.5;-0.30613898386648597
145.5;51.5;-0.2367151216268504
145.5;52.5;-0.2229541829248165
145.5;53.5;-0.2656125446967508
145.5;54.5;-0.28917167636190766
145.5;55.5;-0.2876681330692564
145.5;56.5;-0.29488230093706835
145.5;57.5;-0.25484760742008905
